t	x	v
8.670000	-0.767644	-0.708094
8.680000	-0.774725	-0.700417
8.690000	-0.781729	-0.692670
8.700000	-0.788656	-0.684853
8.710000	-0.795504	-0.676966
8.720000	-0.802274	-0.669011
8.730000	-0.808964	-0.660988
8.740000	-0.815574	-0.652899
8.750000	-0.822103	-0.644743
8.760000	-0.828550	-0.636522
8.770000	-0.834915	-0.628237
8.780000	-0.841198	-0.619887
8.790000	-0.847397	-0.611475
8.800000	-0.853511	-0.603001
8.810000	-0.859541	-0.594466
8.820000	-0.865486	-0.585871
8.830000	-0.871345	-0.577216
8.840000	-0.877117	-0.568503
8.850000	-0.882802	-0.559731
8.860000	-0.888399	-0.550903
8.870000	-0.893908	-0.542019
8.880000	-0.899329	-0.533080
8.890000	-0.904659	-0.524087
8.900000	-0.909900	-0.515040
8.910000	-0.915051	-0.505941
8.920000	-0.920110	-0.496791
8.930000	-0.925078	-0.487590
8.940000	-0.929954	-0.478339
8.950000	-0.934737	-0.469040
8.960000	-0.939428	-0.459692
8.970000	-0.944025	-0.450298
8.980000	-0.948528	-0.440858
8.990000	-0.952936	-0.431372
9.000000	-0.957250	-0.421843
9.010000	-0.961468	-0.412270
9.020000	-0.965591	-0.402656
9.030000	-0.969618	-0.393000
9.040000	-0.973548	-0.383304
9.050000	-0.977381	-0.373568
9.060000	-0.981116	-0.363794
9.070000	-0.984754	-0.353983
9.080000	-0.988294	-0.344136
9.090000	-0.991735	-0.334253
9.100000	-0.995078	-0.324335
9.110000	-0.998321	-0.314385
9.120000	-1.001465	-0.304401
9.130000	-1.004509	-0.294387
9.140000	-1.007453	-0.284342
9.150000	-1.010296	-0.274267
9.160000	-1.013039	-0.264164
9.170000	-1.015681	-0.254034
9.180000	-1.018221	-0.243877
9.190000	-1.020660	-0.233695
9.200000	-1.022997	-0.223488
9.210000	-1.025232	-0.213258
9.220000	-1.027364	-0.203006
9.230000	-1.029394	-0.192732
9.240000	-1.031322	-0.182438
9.250000	-1.033146	-0.172125
9.260000	-1.034867	-0.161794
9.270000	-1.036485	-0.151445
9.280000	-1.038000	-0.141080
9.290000	-1.039410	-0.130700
9.300000	-1.040717	-0.120306
9.310000	-1.041921	-0.109899
9.320000	-1.043020	-0.099480
9.330000	-1.044014	-0.089049
9.340000	-1.044905	-0.078609
9.350000	-1.045691	-0.068160
9.360000	-1.046372	-0.057703
9.370000	-1.046950	-0.047240
9.380000	-1.047422	-0.036770
9.390000	-1.047790	-0.026296
9.400000	-1.048053	-0.015818
9.410000	-1.048211	-0.005337
9.420000	-1.048264	0.005145
9.430000	-1.048213	0.015627
9.440000	-1.048056	0.026109
9.450000	-1.047795	0.036590
9.460000	-1.047429	0.047068
9.470000	-1.046959	0.057542
9.480000	-1.046383	0.068012
9.490000	-1.045703	0.078476
9.500000	-1.044918	0.088933
9.510000	-1.044029	0.099382
9.520000	-1.043035	0.109822
9.530000	-1.041937	0.120252
9.540000	-1.040735	0.130672
9.550000	-1.039428	0.141079
9.560000	-1.038017	0.151473
9.570000	-1.036502	0.161854
9.580000	-1.034884	0.172219
9.590000	-1.033162	0.182568
9.600000	-1.031336	0.192899
9.610000	-1.029407	0.203212
9.620000	-1.027375	0.213507
9.630000	-1.025240	0.223780
9.640000	-1.023002	0.234033
9.650000	-1.020662	0.244263
9.660000	-1.018219	0.254469
9.670000	-1.015674	0.264652
9.680000	-1.013028	0.274808
9.690000	-1.010280	0.284939
9.700000	-1.007430	0.295041
9.710000	-1.004480	0.305116
9.720000	-1.001429	0.315160
9.730000	-0.998277	0.325175
9.740000	-0.995025	0.335158
9.750000	-0.991674	0.345108
9.760000	-0.988223	0.355025
9.770000	-0.984672	0.364907
9.780000	-0.981023	0.374753
9.790000	-0.977276	0.384564
9.800000	-0.973430	0.394336
9.810000	-0.969487	0.404071
9.820000	-0.965446	0.413766
9.830000	-0.961309	0.423420
9.840000	-0.957074	0.433033
9.850000	-0.952744	0.442604
9.860000	-0.948318	0.452131
9.870000	-0.943797	0.461615
9.880000	-0.939180	0.471052
9.890000	-0.934470	0.480444
9.900000	-0.929666	0.489789
9.910000	-0.924768	0.499086
9.920000	-0.919777	0.508333
9.930000	-0.914693	0.517531
9.940000	-0.909518	0.526678
9.950000	-0.904251	0.535773
9.960000	-0.898894	0.544816
9.970000	-0.893445	0.553805
9.980000	-0.887907	0.562739
9.990000	-0.882280	0.571618
10.000000	-0.876564	0.580441
