t	x	v
1.730000	-0.169811	-0.994342
1.740000	-0.179755	-0.992644
1.750000	-0.189681	-0.990846
1.760000	-0.199589	-0.988949
1.770000	-0.209479	-0.986953
1.780000	-0.219348	-0.984859
1.790000	-0.229197	-0.982665
1.800000	-0.239024	-0.980373
1.810000	-0.248827	-0.977983
1.820000	-0.258607	-0.975495
1.830000	-0.268362	-0.972909
1.840000	-0.278091	-0.970225
1.850000	-0.287794	-0.967444
1.860000	-0.297468	-0.964566
1.870000	-0.307114	-0.961591
1.880000	-0.316730	-0.958520
1.890000	-0.326315	-0.955353
1.900000	-0.335868	-0.952090
1.910000	-0.345389	-0.948731
1.920000	-0.354877	-0.945277
1.930000	-0.364329	-0.941729
1.940000	-0.373747	-0.938085
1.950000	-0.383127	-0.934348
1.960000	-0.392471	-0.930516
1.970000	-0.401776	-0.926592
1.980000	-0.411042	-0.922574
1.990000	-0.420268	-0.918464
2.000000	-0.429452	-0.914261
2.010000	-0.438595	-0.909966
2.020000	-0.447695	-0.905580
2.030000	-0.456750	-0.901103
2.040000	-0.465761	-0.896536
2.050000	-0.474727	-0.891878
2.060000	-0.483646	-0.887131
2.070000	-0.492517	-0.882295
2.080000	-0.501340	-0.877369
2.090000	-0.510114	-0.872356
2.100000	-0.518837	-0.867255
2.110000	-0.527510	-0.862067
2.120000	-0.536130	-0.856791
2.130000	-0.544698	-0.851430
2.140000	-0.553213	-0.845983
2.150000	-0.561672	-0.840451
2.160000	-0.570077	-0.834834
2.170000	-0.578425	-0.829134
2.180000	-0.586717	-0.823349
2.190000	-0.594950	-0.817482
2.200000	-0.603125	-0.811533
2.210000	-0.611240	-0.805501
2.220000	-0.619295	-0.799389
2.230000	-0.627289	-0.793196
2.240000	-0.635221	-0.786923
2.250000	-0.643090	-0.780571
2.260000	-0.650896	-0.774140
2.270000	-0.658637	-0.767631
2.280000	-0.666314	-0.761045
2.290000	-0.673924	-0.754382
2.300000	-0.681468	-0.747642
2.310000	-0.688944	-0.740828
2.320000	-0.696353	-0.733938
2.330000	-0.703692	-0.726975
2.340000	-0.710962	-0.719938
2.350000	-0.718161	-0.712828
2.360000	-0.725290	-0.705647
2.370000	-0.732346	-0.698394
2.380000	-0.739330	-0.691070
2.390000	-0.746241	-0.683677
2.400000	-0.753077	-0.676214
2.410000	-0.759840	-0.668684
2.420000	-0.766526	-0.661085
2.430000	-0.773137	-0.653420
2.440000	-0.779671	-0.645689
2.450000	-0.786128	-0.637892
2.460000	-0.792507	-0.630031
2.470000	-0.798808	-0.622106
2.480000	-0.805029	-0.614117
2.490000	-0.811170	-0.606067
2.500000	-0.817230	-0.597956
2.510000	-0.823210	-0.589783
2.520000	-0.829108	-0.581551
2.530000	-0.834923	-0.573260
2.540000	-0.840656	-0.564911
2.550000	-0.846305	-0.556504
2.560000	-0.851870	-0.548041
2.570000	-0.857350	-0.539522
2.580000	-0.862746	-0.530949
2.590000	-0.868055	-0.522322
2.600000	-0.873278	-0.513641
2.610000	-0.878415	-0.504908
2.620000	-0.883464	-0.496124
2.630000	-0.888425	-0.487289
2.640000	-0.893298	-0.478405
2.650000	-0.898082	-0.469472
2.660000	-0.902777	-0.460491
2.670000	-0.907382	-0.451464
2.680000	-0.911896	-0.442390
2.690000	-0.916320	-0.433271
2.700000	-0.920653	-0.424108
2.710000	-0.924894	-0.414901
2.720000	-0.929043	-0.405652
2.730000	-0.933100	-0.396362
2.740000	-0.937063	-0.387031
2.750000	-0.940934	-0.377660
2.760000	-0.944710	-0.368251
2.770000	-0.948393	-0.358804
2.780000	-0.951981	-0.349320
2.790000	-0.955474	-0.339800
2.800000	-0.958872	-0.330245
2.810000	-0.962174	-0.320656
2.820000	-0.965381	-0.311035
2.830000	-0.968491	-0.301381
2.840000	-0.971505	-0.291696
2.850000	-0.974422	-0.281981
2.860000	-0.977242	-0.272237
2.870000	-0.979964	-0.262464
2.880000	-0.982589	-0.252665
2.890000	-0.985115	-0.242839
2.900000	-0.987544	-0.232988
2.910000	-0.989874	-0.223112
2.920000	-0.992105	-0.213213
2.930000	-0.994237	-0.203292
2.940000	-0.996270	-0.193350
2.950000	-0.998203	-0.183387
2.960000	-1.000037	-0.173405
2.970000	-1.001771	-0.163405
2.980000	-1.003405	-0.153387
2.990000	-1.004939	-0.143353
3.000000	-1.006373	-0.133304
3.010000	-1.007706	-0.123240
3.020000	-1.008938	-0.113163
3.030000	-1.010070	-0.103074
3.040000	-1.011101	-0.092973
3.050000	-1.012030	-0.082862
3.060000	-1.012859	-0.072742
3.070000	-1.013586	-0.062613
3.080000	-1.014212	-0.052477
3.090000	-1.014737	-0.042335
3.100000	-1.015161	-0.032188
3.110000	-1.015482	-0.022036
3.120000	-1.015703	-0.011881
3.130000	-1.015822	-0.001724
3.140000	-1.015839	0.008434
3.150000	-1.015755	0.018592
3.160000	-1.015569	0.028750
3.170000	-1.015281	0.038906
3.180000	-1.014892	0.049058
3.190000	-1.014401	0.059207
3.200000	-1.013809	0.069351
3.210000	-1.013116	0.079490
